Case Number,Status,Source,Incident Date,Incident Time,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Lure Animal,Lure Candy,Lure Money,Lure Ride,Lure Other,Lure Other Detail,How Got Away,How Got Away Detail,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Approximate Age 1,Child Approximate Age 2,Child Approximate Age 3,Child Approximate Age 4,Child Approximate Age 5,Child Approximate Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Offender Race 1,Offender Race 2,Offender Race 3,Vehicle Type,Vehicle Color
1260778,Closed,Internet,01/06/16,5:30 PM,20th Ave SE & Breakwood Cir SE,Albany,OR,97322,Linn,0,0,0,0,-1,Parents sent,Ignored/Refused,,551931,551934,,,,,Unknown,Unknown,,,,,Female,Female,,,,,Unknown,Unknown,,,,,Male,,,30-40,,,Unknown,,,,
1260781,Closed,Internet,01/07/16,3:00 PM,5800 W Bryn Mawr Ave & N Luna Ave,Chicago,IL,60630,Cook,0,0,0,0,-1,Called out,Fought/Broke Free,Ignored/Refused,551936,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,25-30,,,Black,,,,Red
1260786,Closed,Internet,01/06/16,5:30 PM,5000 W North Ave,Chicago,IL,60639,Cook,0,0,0,0,-1,Question,Other,The suspect fled.,551940,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,30-40,,,White,,,,
1260842,Closed,Internet,01/08/16,12:00 AM,520 SW Broadway,Portland,OR,97205,Multnomah,0,0,0,0,-1,None,Adult/Child Intervened,,552011,,,,,,Unknown,,,,,,Female,,,,,,2,,,,,,Male,,,,,,Unknown,,,,
1260851,Closed,Internet,01/10/16,12:00 AM,1600 Windsor Ave,Centralia,WA,98531,Lewis,0,0,0,0,-1,None,Adult/Child Intervened,,552027,552028,552029,552030,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,40-50,,,Hispanic,,,,
1260902,Closed,Internet,01/11/16,12:15 PM,W Broadway,Woodmere,NY,11598,Nassau,0,0,0,0,-1,None,Adult/Child Intervened,,552100,,,,,,Unknown,,,,,,Female,,,,,,1.5,,,,,,Male,,,Unknown,,,Unknown,,,,
1260904,Closed,Internet,01/09/16,10:30 AM,6600 N Nevada Ave,Kansas City,MO,64152,Platte,0,0,0,0,-1,Called over,Ran Away,,552103,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,40-49,,,White,,,"Sedan, 4 door",Red
1260920,Closed,Internet,01/08/16,3:50 PM,W 8th St & Park Ave,Deer Park,NY,11729,Suffolk,0,0,-1,0,-1,Restaurant,Unknown,,552124,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,,Dark
1260921,Closed,Internet,01/06/16,3:10 PM,Lake Ave,Deer Park,NY,11729,Suffolk,0,0,-1,0,0,,Unknown,,552126,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,,White
1260959,Closed,Internet,01/09/16,12:00 AM,I-35,Oklahoma City,OK,,Cleveland,0,0,0,0,-1,None,Released,,552185,,,,,,Unknown,,,,,,Male,,,,,,15,,,,,,Male,,,,,,White,,,,
1260962,Closed,Internet,01/12/16,3:30 AM,Wiley Dr & Grant Dr,Magnolia,TX,77354,Montgomery,0,0,0,0,-1,None,Ran Away,,552188,552195,,,,,Unknown,Unknown,,,,,Male,Unknown,,,,,Unknown,Unknown,,,,,Male,,,Unknown,,,Hispanic,,,Truck,White
1260969,Closed,Internet,01/12/16,7:20 AM,900 Roosevelt St,South Bend,IN,46616,St. Joseph,0,0,0,0,-1,Question,Ignored/Refused,,552201,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Unknown,,,Unknown,,,,
1261149,Closed,Internet,01/08/16,2:45 PM,3800 N 14th St,St. Louis,MO,63107,St. Louis City,0,0,0,0,-1,Question,Fought/Broke Free,Ran away,552501,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,,,,Black,,,,
1261151,Closed,Internet,01/15/16,12:00 AM,Rock Prairie Rd,College Station,TX,77845,Brazos,0,0,0,0,-1,Question,Other,The children reported the incident to school staff.,552503,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,20-29,,,White,,,,Black
1261156,Closed,Internet,01/15/16,7:00 PM,500 Palm Ave,Coronado,CA,92118,San Diego,0,0,0,0,-1,Question,Ran Away,,552508,552509,552510,552511,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,50-59,,,White,,,Pickup Truck,
1261237,Closed,Internet,01/17/16,7:00 PM,408 E Rudisill Blvd,Fort Wayne,IN,46806,Allen,0,0,0,-1,-1,Offered help,Fought/Broke Free,Refused; Told the suspect that her brothers were on the way,552623,,,,,,Black,,,,,,Female,,,,,,13,,,,,,Male,,,Unknown,,,Black,,,"Sedan, 2 door",
1261243,Closed,Internet,01/09/16,2:00 PM,1055 Independence Blvd,Virginia Beach,VA,23455,Virginia Beach City,0,0,0,0,-1,None,Unknown,,552629,552631,,,,,Unknown,Unknown,,,,,Unknown,Unknown,,,,,Unknown,Unknown,,,,,Male,,,35-45,,,White,,,,
1261246,Closed,Internet,01/04/16,2:05 PM,5900 NW Brenda Circle,Port St. Lucie,FL,34986,St. Lucie,0,0,0,0,-1,Unknown,Other,Suspect fled the area,552635,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,Unknown,,,White,,,,
1261259,Closed,Internet,01/14/16,7:50 AM,S Paulina St & W 36th St,Chicago,IL,60609,Cook,0,0,0,0,-1,None,Other,Suspect walked away,552648,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,35-40,,,Hispanic,,,,
1261260,Closed,Internet,01/03/16,7:00 PM,6800 S Merrill Ave,Chicago,IL,60649,Cook,0,0,0,0,-1,None,Fought/Broke Free,Ran home,552649,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,35-40,,,Black,,,,
1261264,Closed,Internet,01/15/16,6:20 AM,5200 S Pulaski Rd,Chicago,IL,60632,Cook,0,0,0,0,-1,None,Other,Child got off the bus,552654,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,20-27,,,Hispanic,,,,
1261266,Closed,Internet,01/07/16,8:41 AM,8700 S Cottage Grove Ave,Chicago,IL,60619,Cook,0,0,0,0,-1,None,Other,Suspect got off the bus,552656,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,25-30,,,Black,,,,
1261308,Closed,Internet,01/16/16,9:45 PM,1245 N Euclid Ave,Ontario,CA,91762,San Bernardino,0,0,0,0,-1,None,Fought/Broke Free,,552717,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,35-40,,,Hispanic,,,,
1261310,Closed,Internet,01/19/16,3:30 PM,Crown Point Dr & Golden Pick Dr,Dayton,NV,89403,Lyon,0,-1,0,0,0,,Ran Away,,552724,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,30-39,,,White,,,,
1261317,Closed,Internet,01/16/16,12:00 AM,Cypress Park & West Cypress Way,Orange Beach,AL,36561,Baldwin,0,0,0,0,-1,None,Ran Away,Screamed,552733,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Female,,,Unknown,,,Unknown,,,,
1261325,Closed,Internet,01/19/16,7:00 PM,Washington Ave & Michigan Ave,Roswell,NM,88203,Chaves,0,0,0,0,-1,Unknown,Unknown,,552743,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Unknown,,,Hispanic,,,Pickup Truck,White
1261336,Closed,Internet,01/12/16,12:00 AM,6500 Abrams Rd,Dallas,TX,75231,Dallas,0,0,0,0,-1,None,Adult/Child Intervened,,552760,552761,552762,,,,Unknown,Unknown,Unknown,,,,Unknown,Unknown,Unknown,,,,Unknown,Unknown,Unknown,,,,Male,,,Unknown,,,Hispanic,,,,
1261337,Closed,Internet,01/14/16,12:00 AM,1400 Morrell Ave,Dallas,TX,75203,Dallas,0,0,0,0,-1,None,Ran Away,,552759,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,Unknown,,,Hispanic,,,"Sedan, 4 door",Black
1261491,Closed,Internet,01/21/16,5:45 AM,11000 Foothill Dr,Venus,TX,76084,Johnson,0,0,0,0,-1,None,Ran Away,Screamed,552990,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,Unknown,,,White,,,Pickup Truck,Dark
1261496,Closed,Internet,01/23/16,4:30 PM,Arenal Rd SW & Isleta Blvd SW,Albuquerque,NM,87105,Bernalillo,0,0,0,0,-1,Question,Ignored/Refused,Fought/Pushed suspect away,552999,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,,,,Hispanic,,,,
1261500,Closed,Internet,01/23/16,12:00 AM,Ft Wayne St & Greenville - Ft Wayne Alley,Oroville,CA,95966,Butte,0,-1,0,0,0,,Ran Away,,553005,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Black,,,Sport Utility,Gold
1261584,Closed,Internet,01/23/16,12:00 AM,Unknown,Albuquerque,NM,,Bernalillo,0,0,0,0,-1,None,Fought/Broke Free,,553115,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,Am. Ind.,,,,
1261589,Closed,Internet,01/14/16,12:00 AM,3820 N 14th St,St. Louis,MO,63107,St. Louis City,0,0,0,0,-1,Cell Phone,Ignored/Refused,Ran Away,553120,,,,,,Black,,,,,,Female,,,,,,12,,,,,,Male,,,,,,Black,,,,
1261645,Closed,Internet,01/21/16,8:00 AM,2400 W 79th St,Chicago,IL,60652,Cook,0,0,0,0,-1,Unknown,Ran Away,,553185,553186,553187,,,,Unknown,Unknown,Unknown,,,,Male,Male,Female,,,,11,8,8,,,,Male,,,40-45,,,Black,,,Pickup Truck,Black
1261647,Closed,Internet,01/22/16,8:18 AM,100 E Roosevelt Rd,Chicago,IL,60605,Cook,0,0,0,0,-1,None,Unknown,,553191,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,Black,,,,
1261656,Closed,Internet,01/25/16,12:00 AM,22nd Ave SW & SW Trenton St,Seattle,WA,98106,King,0,0,0,0,-1,None,Fought/Broke Free,Ran away,553203,553204,,,,,Unknown,Unknown,,,,,Female,Female,,,,,13,13,,,,,Male,,,Unknown,,,Unknown,,,,
1261663,Closed,Internet,01/20/16,9:00 AM,9401 Painter Ave,Whittier,CA,90605,Los Angeles,0,0,0,0,-1,Unknown,Unknown,,553216,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,,,,Hispanic,,,,White
1261664,Closed,Internet,01/21/16,12:00 AM,9401 Painter Ave,Whittier,CA,90605,Los Angeles,0,0,0,0,-1,Unknown,Unknown,,553217,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,,,,Hispanic,,,,White
1261665,Closed,Internet,01/07/16,12:00 AM,9401 Painter Ave,Whittier,CA,90605,Los Angeles,0,0,0,-1,0,,Ignored/Refused,,553218,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,,,,Hispanic,,,,White
1261715,Closed,Internet,01/26/16,6:00 PM,Wheelock Pkwy & Albemarle St,St. Paul,MN,55113,Ramsey,0,0,0,0,-1,None,Ignored/Refused,Ran away,553290,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,25-30,,,Biracial,,,,Green
1261870,Closed,Internet,01/22/16,8:22 AM,160 Passaic Ave,Lockport,NY,14094,Niagara,0,0,0,0,-1,Plastic bag; Unknown,Unknown,,553519,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,White,,,Van,Black
1261873,Closed,Internet,01/26/16,12:00 AM,2100 NW 42nd Ave,Miami,FL,33126,Miami-Dade,0,0,0,0,-1,None,Fought/Broke Free,,553522,553524,553525,,,,Unknown,Unknown,Unknown,,,,Female,Unknown,Unknown,,,,3,6,7,,,,Male,,,,,,Asian,,,,
1261938,Closed,Internet,01/28/16,3:50 PM,Cross Creek Bend Ln & E Lakeshore Lagoon Dr,Fulshear,TX,77441,Fort Bend,0,0,0,0,-1,Directions,Ignored/Refused,Ran away,553625,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,40-50,,,White,,,"Sedan, 4 door",Silver
1261941,Closed,Internet,01/28/16,5:40 PM,Rogers Ave & Albemarle Rd,Brooklyn,NY,11226,New York,0,0,0,-1,0,,Ignored/Refused,Ran away,553631,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,40,,,Black,,,Van,Gray
1261946,Closed,Internet,01/27/16,4:15 PM,Midmeadow Ln & Pryor Dr,Festus,MO,63028,Jefferson,0,0,0,0,-1,None,Ran Away,,553636,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,,
1261947,Closed,Internet,01/27/16,12:00 AM,Inkster Rd & Leroy St,Taylor,MI,48180,Wayne,0,0,0,0,-1,Unknown,Unknown,,553637,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,,Green
1261954,Closed,Internet,01/22/16,12:00 AM,5151 State University Dr,Los Angeles,CA,90032,Los Angeles,0,0,0,0,-1,Unknown,Ran Away,,553648,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,,,,Hispanic,,,,
1261956,Closed,Internet,01/29/16,7:30 AM,37th Ave & 81st St,Queens,NY,11372,New York,0,0,0,0,-1,Waved,Ran Away,Ignored/Refused; Adult intervened,553645,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,,,,Unknown,,,,
1261968,Closed,Internet,01/25/16,5:30 PM,4421 W 140th St,Cleveland,OH,44135,Cuyahoga,-1,0,0,-1,0,,Ran Away,,553659,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Unknown,Female,,Unknown,Unknown,,Unknown,Unknown,,"Sedan, 4 door",White
1261970,Closed,Internet,01/31/16,5:20 PM,7100 W Carmen Ave,Chicago,IL,60656,Cook,0,0,0,0,-1,Called over,Ran Away,,553661,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,16-19,,,Black,,,,
1261977,Closed,Internet,01/19/16,8:14 AM,1200 Wilshire Dr,Odessa,TX,79761,Ector,0,0,0,0,-1,None,Ran Away,,553671,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,,,,Hispanic,,,,
1262031,Closed,Internet,01/31/16,5:00 AM,West Rd & CTH X,Kronenwetter,WI,54455,Marathon,0,0,0,0,-1,None,Adult/Child Intervened,,553740,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,30-39,,,White,,,,
1262054,Closed,Internet,01/11/16,3:10 PM,Frisbie Ave & Garden St,Albany,NY,12209,Albany,0,0,0,0,-1,None,Unknown,,553777,553782,,,,,Unknown,Unknown,,,,,Female,Female,,,,,11,12,,,,,Male,,,,,,Black,,,,
1262055,Closed,Internet,02/01/16,3:30 PM,200 Delaware Ave,Albany,NY,12209,Albany,0,0,0,0,-1,None,Unknown,,553778,553784,,,,,Unknown,Unknown,,,,,Female,Female,,,,,13,14,,,,,Male,,,,,,Black,,,,
1262060,Closed,Internet,02/01/16,4:00 PM,Second Ave & Putnam St,Albany,NY,12202,Albany,0,0,0,0,-1,None,Unknown,,553781,,,,,,Unknown,,,,,,Female,,,,,,3,,,,,,Male,,,,,,Black,,,,
1262064,Closed,Internet,01/30/16,6:20 PM,2135 E Franklin Blvd,Gastonia,NC,28054,Gaston,0,0,0,0,-1,None,Unknown,,553788,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1262117,Closed,Internet,02/02/16,8:30 PM,2870 Grand Dr,Chillicothe,MO,64601,Livingston,0,0,0,0,-1,None,Ran Away,,553861,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Unknown,Male,,Unknown,20-30,,Unknown,White,,Truck,
1262119,Closed,Internet,02/03/16,6:30 AM,Cambria Dr,San Tan Valley,AZ,85140,Pinal,0,0,0,0,-1,None,Ran Away,Screamed; Waved,553864,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Unknown,,,Unknown,,,,
1262294,Closed,Internet,02/04/16,2:15 PM,Landing Pl Dr,Lake St. Louis,MO,63367,St. Charles,0,0,0,0,-1,Question,Unknown,,554110,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,30-49,,,White,,,Pickup Truck,Gray
1262295,Closed,Internet,01/28/16,2:15 PM,Landing Pl Dr,Lake St. Louis,MO,63367,St. Charles,0,0,0,0,-1,Question,Unknown,,554111,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,30-49,,,White,,,Pickup Truck,Gray
1262348,Closed,Internet,02/04/16,7:15 AM,601 W Central Ave,Brazil,IN,47834,Clay,0,0,0,0,-1,Question,Ignored/Refused,Suspect drove away,554187,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,30-40,,,Unknown,,,"Sedan, 4 door",Blue
1262354,Closed,Internet,02/05/16,11:15 AM,16000 Hubbell Ave,Detroit,MI,48227,Wayne,0,0,0,0,-1,None,Fought/Broke Free,Child struck suspect w/objects; Ran away,554194,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,60,,,White,,,,Gray
1262355,Closed,Internet,02/02/16,11:20 AM,944 Evergreen St SE,Grand Rapids,MI,49507,Kent,0,0,0,0,-1,Parents sent,Ran Away,,554195,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,Black,,,,
1262370,Closed,Internet,02/06/16,5:00 AM,Broad St,Glen Falls,NY,12801,Warren,0,0,0,0,-1,None,Fought/Broke Free,,554218,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,,,,White,,,,
1262414,Closed,Internet,02/02/16,12:00 AM,944 Evergreen St SE,Grand Rapids,MI,49507,Kent,0,0,0,0,-1,Parents sent,Ran Away,,554286,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,Black,,,,
1262420,Closed,Internet,02/08/16,3:30 PM,3700 CR-3479,Plum Grove,TX,77327,Liberty,0,0,0,0,-1,None,Ignored/Refused,Walked away,554290,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,,,Unknown,,,Hispanic,,,,Gold
1262421,Closed,Internet,02/04/16,4:20 PM,Wakestone Park Terrace,Chantilly,VA,20152,Loudoun,0,0,0,0,-1,None,Fought/Broke Free,Screamed; Ran away,554291,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,25,,,Hispanic,,,,
1262695,Closed,Internet,01/21/16,8:00 PM,5600 N McVicker Ave,Chicago,IL,60646,Cook,0,0,0,0,-1,None,Ran Away,,554706,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Unknown,Male,,Unknown,25-35,,Unknown,Black,,"Sedan, 4 door",Black
1262696,Closed,Internet,02/08/16,5:00 PM,6300 W Barry Ave,Chicago,IL,60634,Cook,0,0,-1,-1,0,,Ran Away,Ignored,554707,554709,,,,,Unknown,Unknown,,,,,Female,Female,,,,,Unknown,Unknown,,,,,Unknown,Male,,Unknown,Unknown,,Unknown,White,,Sport Utility,White
1262706,Closed,Internet,02/02/16,3:30 PM,Sand Hill Rd & LaSalle Dr,Essex,VT,05452,Chittenden,0,0,0,0,-1,Unknown,Adult/Child Intervened,,554721,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,Female,,18-23,Unknown,,Unknown,Unknown,,Van,Red
1262724,Closed,Internet,01/16/16,4:58 PM,Peter Hurd Way,Evesham Township,NJ,08053,Burlington,0,-1,0,0,0,,Other,One child pretended to call the police,554742,554743,,,,,Unknown,Unknown,,,,,Male,Male,,,,,10,11,,,,,Male,Female,,Unknown,13-19,,White,Unknown,,,Black
1262725,Closed,Internet,02/10/16,7:20 AM,1600 W Cucharras St & S 17th St,Colorado Springs,CO,80904,El Paso,0,0,0,0,-1,Comments,Ran Away,,554744,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,20-29,,,White,,,,
1262734,Closed,Internet,02/07/16,12:00 AM,SR-51 & E Cactus Rd,Phoenix,AZ,85032,Maricopa,0,0,0,0,-1,None,Adult/Child Intervened,,554756,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,,,,White,,,,
1262738,Closed,Internet,01/16/16,4:30 PM,80 Manor Ave,Oaklyn,NJ,08107,Camden,0,-1,0,0,0,,Ignored/Refused,,554759,554761,554762,,,,Black,White,White,,,,Male,Male,Male,,,,10,10,5,,,,Male,Female,,60-70,60-70,,White,White,,,Dark
1262741,Closed,Internet,02/12/16,12:00 AM,Azoulay Ct,Redding,CA,96003,Shasta,0,0,0,0,-1,Question,Adult/Child Intervened,,554766,555037,,,,,Unknown,Unknown,,,,,Male,Unknown,,,,,11,Unknown,,,,,Male,,,,,,White,,,,
1262777,Closed,Internet,02/12/16,7:20 AM,Calabasas Rd & Bowker Rd,Freedom,CA,95019,Santa Cruz,0,0,0,0,-1,None,Fought/Broke Free,,554823,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,30-35,,,Hispanic,,,,
1262778,Closed,Internet,02/15/16,12:00 AM,Constitution Way,Richmond Hill,GA,31324,Bryan,0,0,0,0,-1,Questions,Other,The child informed the suspect of her age and left the area,554824,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,Unknown,,,Black,,,,
1262781,Closed,Internet,02/10/16,5:00 PM,520 E & 1000 N,Tooele,UT,84074,Tooele,0,0,0,0,-1,None,Fought/Broke Free,Ran away,554827,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,Unknown,,,Black,,,,
1262789,Closed,Internet,02/16/16,3:30 PM,6800 W Butler Dr,Glendale,AZ,85302,Maricopa,0,0,0,0,-1,None,Released,,554839,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,30-39,,,Black,,,,
1262790,Closed,Internet,01/24/16,11:00 AM,Delaware Ave,Marysville,OH,43040,Union,-1,0,0,0,0,,Ran Away,,554840,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,,,,White,,,Van,
1262796,Closed,Internet,01/06/16,12:00 AM,11000 US-36,Marysville,OH,43040,Union,0,0,0,0,-1,None,Ran Away,,554848,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,30-39,,,White,,,Truck,Beige
1262799,Closed,Internet,02/16/16,3:15 PM,E Shepherd Ave & N Academy Ave Exd,Clovis,CA,93619,Fresno,0,0,0,0,-1,None,Adult/Child Intervened,,554851,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,Unknown,,,Unknown,,,,Silver
1262808,Closed,Internet,02/12/16,4:30 PM,41st St NW,Rochester,MN,55901,Olmsted,0,0,0,0,-1,None,Ran Away,Screamed,554872,554874,,,,,Unknown,Unknown,,,,,Male,Female,,,,,6,7,,,,,Male,Female,,Unknown,Unknown,,Black,Black,,,
1262811,Closed,Internet,02/12/16,12:00 AM,41st St NW,Rochester,MN,55901,Olmsted,0,0,0,0,-1,None,Other,The children got onto their school bus.,554877,554878,,,,,Unknown,Unknown,,,,,Male,Female,,,,,6,7,,,,,Female,,,Unknown,,,Black,,,,
1262858,Closed,Internet,02/15/16,1:30 PM,1200 2nd Ave,Plattsmouth,NE,68048,Cass,0,-1,0,0,0,,Unknown,,554942,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,White,,,,White
1262865,Closed,Internet,02/10/16,8:00 AM,E 5th Ave & S Thor St,Spokane,WA,99202,Spokane,0,0,0,0,-1,None,Unknown,,554951,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,White,,,Truck,Black
